,Title,Parsed_Ingredients,Ingredients,Instructions,Scores
36,Broiled Chicken with Rosemary and Garlic ,lemon chicken garlic,"1 lemon, 3 lb chicken parts, 1 teaspoon salt, 1/2 teaspoon black pepper, 1 tablespoon minced fresh rosemary, 1 teaspoon minced garlic","Preheat broiler. Remove 4 (3- by 1/2-inch) strips of zest from lemon with a vegetable peeler, avoiding white pith, then cut strips diagonally into thin strips. Halve lemon, then squeeze juice into a small bowl. Put chicken in a large bowl with salt, pepper, and 1 tablespoon lemon juice and toss to coat. Transfer chicken, skin sides down, to rack of a broiler pan and broil 3 to 4 inches from heat, turning over every 5 minutes, 15 minutes total. Remove broiler pan from oven, then transfer chicken to a plate with tongs. Carefully remove rack from broiler pan and add zest, rosemary, garlic, and remaining lemon juice to juices accumulated in bottom of broiler pan. Transfer chicken to pan juices, then toss to coat and arrange chicken skin sides up. Return broiler pan to oven and broil chicken until cooked through, 3 to 5 minutes more. Transfer chicken to a platter and pour any juices from broiler pan over it.
Preheat broiler.
Remove 4 (3- by 1/2-inch) strips of zest from lemon with a vegetable peeler, avoiding white pith, then cut strips diagonally into thin strips. Halve lemon, then squeeze juice into a small bowl.
Put chicken in a large bowl with salt, pepper, and 1 tablespoon lemon juice and toss to coat. Transfer chicken, skin sides down, to rack of a broiler pan and broil 3 to 4 inches from heat, turning over every 5 minutes, 15 minutes total.
Remove broiler pan from oven, then transfer chicken to a plate with tongs. Carefully remove rack from broiler pan and add zest, rosemary, garlic, and remaining lemon juice to juices accumulated in bottom of broiler pan.
Transfer chicken to pan juices, then toss to coat and arrange chicken skin sides up. Return broiler pan to oven and broil chicken until cooked through, 3 to 5 minutes more.
Transfer chicken to a platter and pour any juices from broiler pan over it.",0.3641570974030198
37,Roasted Lemon Herb Chicken,garlic chicken lemon,"2 teaspoons Italian seasoning  , 1/2 teaspoon seasoning salt  , 1/2 teaspoon mustard powder  , 1 teaspoon garlic powder  , 1/2 teaspoon ground black pepper  , 1 (3 pound) whole chicken  , 2 lemons  , 2 tablespoons olive oil  ,  ","Preheat oven to 350 degrees F (175 degrees C).
Combine the seasoning, salt, mustard powder, garlic powder and black pepper; set aside. Rinse the chicken thoroughly, and remove the giblets. Place chicken in a 9x13 inch baking dish. Sprinkle 1 1/2 teaspoons of the spice mixture inside the chicken. Rub the remaining mixture on the outside of the chicken.
Squeeze the juice of the 2 lemons into a small bowl or cup, and mix with the olive oil. Drizzle this oil/juice mixture over the chicken.
Bake in the preheated oven for 1 1/2 hours, or until juices run clear, basting several times with the remaining oil mixture.
",0.3641570974030198
38,Moist Garlic Roasted Chicken,chicken lemon garlic,"1 (4 pound) whole chicken  , salt and pepper to taste  , 1 large lemon, sliced  , 6 cloves garlic, sliced  , 6 sprigs thyme  ,  ","Preheat oven to 325 degrees F (165 degrees C).
Place a large sheet of parchment paper into the middle of a roasting tray. The parchment must be large enough to completely envelop the chicken. Season the chicken with salt and pepper, stuff with half of the lemon slices, and place breast side up in the middle of the parchment paper. Sprinkle garlic slices, and thyme sprigs evenly over the chicken. Lay the remaining lemon slices over the breast. Fold the parchment over the chicken forming a loose parcel.
Bake in the preheated oven until the chicken has cooked, about 1 1/2 to 2 hours. A meat thermometer inserted into thickest part of the thigh should reach 180 degrees F.
",0.3641570974030198
39,Greek Chicken,garlic lemon chicken,"1/2 cup olive oil  , 3 cloves garlic, chopped  , 1 tablespoon chopped fresh rosemary  , 1 tablespoon chopped fresh thyme  , 1 tablespoon chopped fresh oregano  , 2 lemons, juiced  , 1 (4 pound) chicken, cut into pieces  ,  ","In a glass dish, mix the olive oil, garlic, rosemary, thyme, oregano, and lemon juice. Place the chicken pieces in the mixture, cover, and marinate in the refrigerator 8 hours or overnight.
Preheat grill for high heat.
Lightly oil the grill grate. Place chicken on the grill, and discard the marinade. Cook chicken pieces up to 15 minutes per side, until juices run clear. Smaller pieces will not take as long.
",0.3641570974030198
40,Mom's Chicken En Cocotte,chicken carrot potato celery onion garlic chicken,"2 tablespoons olive oil  , 1 (3 1/2) pound whole chicken, cut into 8 pieces  , salt and ground black pepper to taste  , 8 carrots, peeled and cut into 1-inch pieces  , 8 potatoes, quartered  , 4 stalks celery, cut into 1-inch pieces  , 1/2 large onion, chopped  , 2 cloves garlic, chopped  , 2 chicken bouillon cubes  , 2 1/2 cups water  ,  ","Preheat oven to 350 degrees F (175 degrees C).
Pour the olive oil into the bottom of a heavy Dutch oven, and place over medium heat. Sprinkle the chicken pieces with salt and black pepper, and cook in the hot oil until browned on both sides, 5 to 8 minutes per side. Add the carrots, potatoes, celery, onion, garlic, chicken bouillon cubes, and water, and stir to combine. Bring to a boil, and cover the Dutch oven.
Place the Dutch oven into the preheated oven, and simmer, covered, until the vegetables are tender, about 45 minutes.
",0.3642160612158343
41,Easy Chicken Tetrazzini,spaghetti chicken breast cream chicken soup butter chicken cheddar cheese,"1 pound cooked and drained spaghetti  , 5 chicken breasts, cooked and cubed  , 2 (10.75 ounce) cans condensed cream of chicken soup  , 2 1/4 cups water  , 1/4 cup butter  , 2 cubes chicken bouillon  , 1/4 cup shredded Cheddar cheese  ,  ","Put cooked spaghetti into 9x13-inch baking dish. Place chicken on top of spaghetti.
In medium saucepan heat together soup, water, butter, and bouillon. Bring to a boil and then pour over the pasta and chicken. Put shredded cheese (to taste) on top and press down a bit.
Bake at 350 degrees F (175 degrees C) for 25 minutes.
",0.3644980021395957
42,Straciatella (Italian Egg Drop Soup),chicken stock chicken broth egg parmesan,"5 cups chicken stock or canned chicken broth, 2 large eggs, 3 tablespoons freshly grated Parmesan, or to taste, 1/4 cup minced fresh Italian parsley, Salt and freshly ground pepper, to taste","In a large saucepan bring stock to a boil over moderate heat. In a bowl beat together the eggs, Parmesan and parsley. Reduce the heat to low and drizzle eggs into stock, gently stirring. Simmer, stirring, just until eggs are set. Season with salt and pepper.",0.3645961053331621
43,Pan-Seared Chicken with Thyme,chicken chicken breast make cutlet flour chicken stock wine chicken granule butter,"Chicken:  , 4 skinless, boneless chicken breast halves, cut in half lengthwise to make thin cutlets  , salt and ground black pepper to taste  , 1 teaspoon dried thyme  , 1/4 cup flour  , 4 tablespoons olive oil  , Sauce:  , 2 sprigs fresh thyme  , 1 cup Swanson(r) Chicken Stock  , 1/4 cup white wine  , 2 teaspoons chicken bouillon granules  , 2 teaspoons cold butter  , salt and ground black pepper to taste  ,  ","Season both sides of chicken with salt, pepper, and dried thyme. Place flour in a shallow dish and dredge both sides of chicken pieces in flour.
Heat oil in pan over medium-high heat. When oil starts to shimmer, add the chicken. (If the chicken browns too quickly, reduce heat.) Cook, turning as needed, until chicken is browned on both sides, is no longer pink in the center, and the juices run clear, 4 or 5 minutes total on each side. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Transfer chicken to a plate and tent with foil.
In the same pan, reduce heat to low and add thyme sprigs and cook until aromatic, 1 or 2 minutes. Increase heat to high; pour in Swanson(R) Chicken Stock and wine. Stir up browned bits to deglaze the pan. Add the chicken bouillon granules and mix well. Reduce heat to medium and cook until sauce reduces and is slightly thickened, about 5 minutes. Remove pan from heat.
Remove and discard the thyme sprigs. Add to the pan any accumulated juices from the tented chicken plate. Finish the sauce by whisking in the cold butter. Season with salt and pepper to taste.
Spoon sauce over chicken before serving.
",0.3651120504359142
44,Pan-Roasted Chicken Breasts,chicken breast apple butter chicken broth,"4 boneless chicken breast halves with skin  , salt and freshly ground black pepper to taste  , 1 tablespoon chopped fresh herbs (thyme, parsley, rosemary) (optional)  , 2 tablespoons olive oil  , 1/4 cup apple cider vinegar  , 4 tablespoons cold butter, cut into small pieces  , 1 tablespoon chicken broth (or water), if needed to thin sauce  ,  ","Season chicken on both sides with salt and pepper.
Heat olive oil in a heavy skillet over medium-high heat until it starts to shimmer. Place chicken breasts in skillet skin side down. Sprinkle with fresh herbs. Do not disturb the breasts until the skin side sears, 5 or 6 minutes. Turn chicken.
Cook until internal temperature reaches 150 degrees F, about 5 minutes. Add vinegar and butter to pan with chicken. Shake pan gently until butter melts and internal temperature of chicken reaches 160 to 165 degrees F, 2 to 3 minutes more. Add a splash of chicken broth or water if sauce needs to be thinned.
",0.36737581422151
45,Chicken Piccata II,chicken breast egg lemon allpurpose flour garlic butter chicken,"4 skinless, boneless chicken breasts  , 1 egg  , 3 tablespoons lemon juice  , 1/4 cup all-purpose flour  , 1/8 teaspoon garlic powder  , 1/8 teaspoon paprika  , 1/4 cup butter  , 2 teaspoons chicken bouillon powder  , 1/2 cup boiling water  ,  ","In a small bowl, beat the egg together with 1 tablespoon of the lemon juice. Set aside.
In a shallow bowl or dish mix together the flour, garlic powder and paprika. Dip the chicken in the egg/lemon mixture, then in the seasoned flour.
In a large skillet, melt butter/margarine and brown the coated chicken pieces.
Dissolve the bouillon in the boiling water, then add the remaining 2 tablespoons of lemon juice. Pour liquid into skillet. Cover and let simmer for 20 minutes, turning chicken pieces after 10 minutes, until chicken is tender. Garnish as desired and serve.
",0.37572164264540087
46,Baked Spiced Chicken,sugar chicken vegetable,"1 tablespoon mild paprika  , 1 tablespoon dried parsley  , 2 teaspoons brown sugar  , 1 teaspoon dry mustard powder  , 2 teaspoons salt  , 1 teaspoon black pepper  , 1 (3 1/2) pound whole chicken, cut into pieces  , 2 tablespoons vegetable oil  ,  ","Preheat an oven to 400 degrees F (200 degrees C). Combine the paprika, parsley, sugar, mustard, salt, and pepper in a small bowl; set aside.
Place the chicken pieces in a 9x13 inch baking dish, and coat with the vegetable oil; arrange skin-side up. Sprinkle evenly with the spice mixture.
Bake the chicken in the preheated oven until no longer pink at the bone and the juices run clear, about 45 minutes. An instant-read thermometer inserted near the bone should read 165 degrees F (74 degrees C).
",0.3761647024077116
47,Dry Brined Roasted Chicken,chicken orange,"1 whole chicken  , 2 tablespoons salt, or as needed  , 2 teaspoons grated orange zest  , 1 teaspoon dried rosemary  , 1 teaspoon dried thyme  ,  ","Remove chicken from packaging, remove giblet packet from cavity, and pat thoroughly dry with paper towels. Place in a 9x13-inch baking dish.
Mix salt, orange zest, rosemary, and thyme together in a small bowl; rub 3/4 of the mixture all over outside of chicken; rub remaining mixture inside cavity. Cover loosely with plastic wrap and refrigerate 1 to 3 days.
Preheat oven to 350 degrees F (175 degrees C). Remove plastic wrap from chicken.
Bake chicken in preheated oven until no longer pink at the bone and the juices run clear, 2 to 2 1/2 hours depending on size. An instant-read thermometer inserted into the thickest part of the thigh near the bone should read 165 degrees F (74 degrees C). Remove chicken from the oven, cover with a doubled sheet of aluminum foil, and allow to rest in a warm area for 20 minutes before carving.
",0.376527855220237
48,Pan Sauce Chicken,chicken breast allpurpose flour wine chicken broth,"4 skinless, boneless chicken breast halves  , 1/2 teaspoon salt  , 1/2 teaspoon ground black pepper  , 1/2 teaspoon seasoned salt  , 3 tablespoons all-purpose flour  , 3 tablespoons water  , 1 cup white wine  , 1 cup chicken broth  , 2 teaspoons chopped Italian herbs  ,  ","Season chicken breasts with salt, pepper and seasoned salt. In a small bowl, combine flour and water and mix until no lumps remain and the mixture is completely smooth.
Heat 1 tablespoon oil in a large skillet over high heat. Add chicken and brown for 3 to 4 minutes each side. Remove chicken to a plate or platter.
Deglaze skillet with wine and broth and bring to simmer over medium low heat. When simmering, add herbs; whisk in flour mixture. Return to simmer, reduce heat to low and return chicken to skillet with juices.
Cover skillet and simmer gently for 20 to 30 minutes, or until chicken is cooked through (no longer pink inside), turning frequently.
",0.38084587154995253
49,Chili Chicken Stew,vegetable onion cream chicken soup chicken broth chicken meat tomato vegetable,"2 tablespoons vegetable oil  , 1 green bell pepper, chopped  , 1 onion, chopped  , 1 (10.75 ounce) can condensed cream of chicken soup  , 2 (14.5 ounce) cans chicken broth  , 1 teaspoon chili powder  , 2 cups cubed, cooked chicken meat  , 1 (14.5 ounce) can diced tomatoes  , 1 (16 ounce) package frozen mixed vegetables  ,  ","In a saucepan over medium heat, heat oil. Cook green bell pepper and onion until tender, stirring often.
Add cream of chicken soup, broth, chili powder and cooked chicken. Bring to a boil and then simmer for 10 minutes.
Add tomatoes and mixed vegetables. Cook for 30 minutes and then serve.
",0.3809762333131317
50,Braised Chicken Sausages,chicken sausage chicken stock extravirgin onion,"2 pounds fresh chicken sausage, 1 pint chicken stock, 1/4 cup balsamic vinegar, 2 tablespoons extra-virgin olive oil, 1 medium red onion, sliced","Put all ingredients in a large high sided saute pan. Bring to a boil, reduce heat to medium-high and cook until stock has evaporated and a glaze has formed over all. With tongs toss sausages with onions and serve.",0.38114856390139706
51,Creamy Chicken,chicken breast garlic cream chicken soup,"4 skinless, boneless chicken breast halves  , 1/2 teaspoon salt  , 1/2 teaspoon ground black pepper  , 1/2 teaspoon garlic powder  , 1 (10.75 ounce) can condensed cream of chicken soup  ,  ","Preheat oven to 375 degrees F (190 degrees C).
Clean chicken breasts and season with salt, pepper and garlic powder (or whichever seasonings you prefer) on both sides of chicken pieces.
Bake for 25 minutes, then add cream of chicken soup and bake for 10 more minutes (or until done). Serve over rice or egg noodles.
",0.38341917070039444
52,Chicken Bouillon Rice,rice chicken,"4 cups water  , 2 cups uncooked white rice  , 2 cubes chicken bouillon  ,  ","In a saucepan bring water to a boil. Add rice and bouillon and stir. Reduce heat, cover and simmer for 20 minutes. Mix well before serving.
",0.3845866785013141
53,A Nineties Twist to a Grandmother's Roast Chicken ,garlic chicken vegetable,"4 cloves garlic or to taste, 1 4-pound chicken, cut into 8 pieces, salt and freshly ground pepper to taste, sprigs of fresh rosemary, thyme, and sage, 1/4 cup vegetable or olive oil","Smash the garlic slightly with a knife and rub into the chicken well. Salt and pepper the chicken and cover with the herbs. Dribble with a little of the vegetable or olive oil. Cover and leave in the refrigerator overnight, turning the herbs and chicken once. Remove the herbs from the chicken. Heat a heavy ovenproof skillet large enough to hold all the pieces. Add the remaining tablespoon or 2 of the oil and place the chicken skin side down. Brown the chicken over a medium-high heat for about 5 minutes on one side. Remove the skillet with the chicken to a preheated 350-degree oven and bake for 30 to 40 minutes or until the chicken is crisp and the juices run clear.
Smash the garlic slightly with a knife and rub into the chicken well. Salt and pepper the chicken and cover with the herbs. Dribble with a little of the vegetable or olive oil. Cover and leave in the refrigerator overnight, turning the herbs and chicken once.
Remove the herbs from the chicken. Heat a heavy ovenproof skillet large enough to hold all the pieces. Add the remaining tablespoon or 2 of the oil and place the chicken skin side down. Brown the chicken over a medium-high heat for about 5 minutes on one side.
Remove the skillet with the chicken to a preheated 350-degree oven and bake for 30 to 40 minutes or until the chicken is crisp and the juices run clear.",0.3849776398742236
54,Easy Italian  Chicken,chicken garlic vegetable,"8 chicken legs, halved  , 4 cloves garlic  , 1 tablespoon crushed red pepper flakes  , 1 tablespoon vegetable oil  , salt to taste  , 1/2 cup water  ,  ","In a large skillet, brown the chicken pieces in oil and cook for about 15 minutes over medium heat.
Crush garlic cloves and squeeze over chicken. Cover skillet and cook over low heat for 10 minutes each side. Remove cover, sprinkle with red pepper flakes and salt to taste, add water and simmer over low heat until water evaporates and the chicken pieces are sticky and yummy!
",0.3849776398742236
55,Deep South Fried Chicken,allpurpose flour chicken,"1 cup shortening  , 2 cups all-purpose flour  , 1 teaspoon salt  , 1 teaspoon ground black pepper  , 1 (2 to 3 pound) whole chicken, cut into pieces  ,  ","Heat the shortening in a large, cast iron skillet over medium-high heat.
In a brown paper lunch bag, combine the flour, salt, and pepper. Shake two chicken pieces in the bag to coat, and place them in the skillet. Repeat until all of the chicken is coated and in the skillet.
Fry the chicken over medium-high heat until all of the pieces have been browned on both sides. Turn the heat to medium-low, cover, and cook for 25 minutes. Remove the lid, and increase heat to medium-high. Continue frying until chicken pieces are a deep golden brown, and the juices run clear.
",0.38596492309529695
56,Super Easy Slow Cooker Chicken Enchilada Meat,chicken broth tomato allpurpose flour garlic chicken breast,"2 cups chicken broth  , 1 (14.5 ounce) can diced tomatoes  , 1/3 cup chili powder  , 1/2 cup all-purpose flour  , 1 clove garlic  , 2 teaspoons ground cumin  , 1 teaspoon oregano  , 1 teaspoon salt, or to taste  , 1 pinch cayenne pepper, or more to taste (optional)  , 4 skinless, boneless chicken breast halves  ,  ","Blend chicken broth, tomatoes, chili powder, flour, garlic, cumin, oregano, salt, and cayenne pepper in a blender until smooth.
Put chicken breast in bottom of a slow cooker; pour blended enchilada sauce over the chicken.
Cook on Low 8 to 9 hours (or 4 to 6 hours on High). Shred the chicken with 2 large forks and stir into the sauce.
",0.3906101327735415
57,Asian Grilled Chicken,chicken stock soy sugar garlic chicken breast,"1 3/4 cups Swanson(r) Chicken Stock, 2 tablespoons soy sauce, 1 tablespoon vinegar, 1 teaspoon sugar, 1 teaspoon garlic powder, 1/8 teaspoon crushed red pepper, 4 skinless, boneless chicken breast halves","Stir the stock, soy sauce, vinegar, sugar, garlic powder and red pepper in a shallow nonmetallic dish or a gallon-size resealable plastic bag. Add the chicken and turn to coat. Cover the dish or close the bag and refrigerate for 1 hour. Remove the chicken from the marinade.
Lightly oil the grill rack and heat the grill to medium. Grill the chicken for 15 minutes or until it's cooked though, turning and brushing often with the marinade.
Heat the remaining marinade in a 1-quart saucepan over medium-high heat to a boil and serve with the chicken.",0.3940673776961934
58,Super Easy Chicken Noodle Soup,chicken meat chicken egg noodle,"1 pound boneless, skinless chicken meat  , 4 cubes chicken bouillon  , 8 cups water  , 2 cups thin egg noodles  ,  ","Measure water into a large pot, and add chicken and chicken bouillon. Boil until chicken is fully cooked.
Remove chicken from the broth. Chop into small pieces, and return meat to the pot.
Add egg noodles, and cook until tender.
",0.3960769152232849
59,Chicken Noodle Soup II,egg milk allpurpose flour chicken broth celery onion carrot garlic chicken meat kernel chicken,"2 eggs  , 4 tablespoons milk  , 1 teaspoon salt  , 2 cups all-purpose flour  , 8 cups chicken broth  , 2 cups diced celery  , 1 cup diced onion  , 3 cups baby carrots, chopped  , 2 teaspoons minced garlic  , 1 pound chopped, cooked chicken meat  , 1 (16 ounce) package frozen corn kernels  , salt and pepper to taste  , seasoned salt to taste  , 1 cube chicken bouillon  ,  ","Mix eggs and milk together until well beaten and then add salt and flour. Dough should be stiff. On a floured surface roll dough out really thin, 1/8 of an inch. Let dry 30 minutes and then cut into thin slices. Place on wax paper and let air dry.
In a large stock pot add chicken broth, celery, onion, baby carrots, and garlic. Fill stock pot, 2 inches from the top with water. Simmer until vegetables are tender, about 2 hours.
Add chicken and corn. Season with salt, pepper, seasoning salt and chicken bouillon granules. Simmer for 30 minutes, checking to see if water level has decreased. Add water if needed.
Bring to a boil, add noodles, stirring often. Noodles should be done in 20 minutes. Serve hot.
",0.397219738031677
60,Caldo De Pollo (Mexican Chicken Soup),soup stock chicken broth chicken tender chicken granulated garlic onion rice chicken broth rice avocado,"Soup Stock:  , 6 cups chicken broth  , 1 cup water  , 1 1/4 pounds chicken tenders  , 3 extra large chicken bouillon cubes (such as Knorr(r))  , 1 tablespoon olive oil  , 2 teaspoons granulated garlic  , 2 teaspoons ground cumin  , salt and ground black pepper to taste  , 1/2 large white onion, chopped, or to taste  , Rice:  , 2 cups chicken broth  , 1 cup white rice  , 1 teaspoon chili powder  , Garnish:  , 1 avocado - peeled, pitted, and thinly sliced  , 1 bunch fresh cilantro, chopped  ,  ","Combine 6 cups chicken broth, water, chicken tenders, chicken bouillon cubes, olive oil, granulated garlic, cumin, salt, and pepper in a large pot; bring to a boil. Reduce heat, cover pot, and simmer until chicken is cooked through, about 25 minutes. Gently shred chicken using 2 forks. Add onion to broth and simmer for about 5 more minutes.
Bring 2 cups chicken broth, rice, and chili powder to a boil in a saucepan. Reduce heat to medium-low, cover, and simmer until the rice is tender and liquid has been absorbed, about 25 minutes.
Spoon rice into each serving bowl and pour soup over rice. Garnish with avocado slices and cilantro.
",0.40149373696125046
61,Chicken Stew for the Soul,chicken chicken breast chicken onion unbleached flour mace butter egg milk,"1 chicken or 4 chicken breasts, 2 1/2 to 3 quarts water, 2 chicken bouillon cubes, 1/2 onion, chopped, 4 cups unbleached white flour, 1 teaspoon salt, Dash of mace, 1 tablespoon cold butter, 2 eggs, 1 cup milk","In a large pot, cover the chicken with water, and bring to a full boil. Reduce heat, add chicken bouillon cubes and onion, and continue cooking chicken at a low boil until chicken is done, but not quite falling off the bone, approximately 30 minutes. Turn off the heat; remove the chicken from broth and remove skin and bones. Cut up and return to the broth-heat still off. Mix flour, salt, and mace in a large bowl. Crumble the butter into the flour with a fork, and add the eggs and milk. Mix with a strong wooden spoon until the dough is smooth. Divide dough into four portions to make it easy to work with. On a well-floured surface, roll the dough to a 1/4-inch thickness. Put the broth back on the heat and bring to a rolling boil. Cut the rolled-out dough into 2 to 3-inch squares and drop them into the boiling broth. Stir occasionally to keep the dough from sticking together as it boils. After all the dough has been dropped in the pot, turn the heat down to low, and simmer the ""pop-eye"", lid on, for about 20 minutes. When it becomes irresistibly creamy and thick.",0.40463675964801826
62,Chicken Legs Steamed with Thyme,onion button mushroom chicken breast port chicken stock chicken thigh chicken broth stock extravirgin butter lemon,"2 tablespoons olive oil, 1 small onion, minced, 2 ounces button mushrooms, quartered, 8 ounces skinless, boneless chicken breast, chopped, Salt and freshly ground black pepper, 1/4 cup port, 1/2 cup chicken stock, 2 tablespoons chopped parsley leaves, 4 chicken legs with thighs, 1 quart chicken broth or stock, 3 or 4 fresh thyme sprigs, 2 tablespoons extra-virgin olive oil, 1/2 bunch watercress, 3 tablespoons unsalted butter, Salt and pepper, 1/2 lemon, juiced","Heat a large saute pan over medium-high heat. Add the olive oil and heat. When the oil is hot, add the onions and cook for 1 minute. Add the mushrooms and chicken and cook until the mushrooms begin to give off their liquid and the chicken is no longer pink. Season with salt and pepper. Remove from the heat and add the port. Return to the heat and cook until the port is reduced by 1/4. Be careful as the mixture may ignite. Add the chicken stock and cook for 2 minutes. With a slotted spoon, remove the chicken and mushroom mixture and place in a bowl. Return the pan to the heat and reduce the liquid down until it is a syrupy consistency, about 5 minutes. Add the reduced liquid to the chicken mixture. Add the parsley and mix well. Cool.
Remove the bone from the thigh to the first joint of the leg. Reserve the bones and scraps for the steaming liquid. You can ask your butcher to do this for you. Season the legs, inside and out, with salt and pepper. Lay the legs down, skin-side down. Place 1/4 cup of the cooled filling inside each leg. Fold the meat over the filling and secure closed with a toothpick.
In the bottom of a steamer, combine the chicken stock, reserved bones, thyme, and olive oil and bring to a boil.
Place the steamer basket in the steamer. Add the chicken legs in 1 layer and cover. Steam until the chicken is cooked through, about 20 to 25 minutes.
Remove the chicken legs from the steamer and keep warm while you make the sauce. Place 1/2 cup of the steaming liquid in a blender. Add the watercress and blend well. With the blender running on low, add the butter, a little bit at a time. Season with salt, pepper, and lemon juice.
Slice the boneless part of the chicken leg into 3 slices. Place some sauce on a plate and top with the chicken leg.",0.40904413344731716
63,Kathy's Delicious Whole Slow Cooker Chicken,chicken chicken broth soy lemon sesame garlic,"1 (3 pound) whole chicken, skin removed  , 1/2 cup chicken broth  , 1/3 cup soy sauce  , 1/3 cup olive oil  , 1/4 cup honey  , 1 teaspoon Worcestershire sauce  , 2 teaspoons balsamic vinegar  , 2 teaspoons lemon juice  , 1 teaspoon sesame oil  , 2 tablespoons minced garlic  ,  ","Remove skin from chicken, and empty inner cavity of contents within. Pat chicken dry with a paper towel, and place inside the slow cooker.
In a bowl, stir together the chicken broth, soy sauce, olive oil, honey, Worcestershire sauce, balsamic vinegar, lemon juice, sesame oil, and minced garlic. Pour mixture over chicken, and cover.
Cook chicken on low setting for 8 hours, or 4 hours on high setting.
",0.4103285368897208
64,Amazing Slow Cooker Orange Chicken,vegetable allpurpose flour cream chicken soup chicken breast chicken broth sugar orange concentrate,"2 tablespoons vegetable shortening  , 1/4 cup all-purpose flour  , 1 (10.75 ounce) can condensed cream of chicken soup  , 1/2 teaspoon seasoned salt  , 1/4 teaspoon pepper  , 1/4 teaspoon salt  , 4 skinless, boneless chicken breast halves  , 1/2 cup chicken broth  , 2 teaspoons brown sugar  , 1/3 cup frozen orange juice concentrate  ,  ","Heat the shortening in a skillet over medium-high heat. In a bowl, mix the flour, condensed soup, seasoned salt, pepper, and salt. Dip chicken in the mixture to coat, and fry in the skillet until golden brown.
Place chicken in a slow cooker. Mix the chicken broth, brown sugar, and orange juice concentrate in a bowl, and pour over chicken in the slow cooker.
Cover, and cook 2 to 3 hours on Low or 1 to 2 hours on High.
",0.410826173483022
65,Grapes and Rice Stir Fry,vegetable grape chicken rice chicken broth,"1 tablespoon vegetable oil  , 1 cup sliced red grapes  , 1 cup cubed cooked chicken  , 2 cups cooked rice  , 1/4 cup chicken broth  ,  ","Heat the vegetable oil in a wok or large skillet over medium high heat. Stir in the grapes and chicken; cook and stir until the chicken is hot, and the grapes are tender, about 3 minutes. Add the rice and chicken broth; continue cooking until the rice is hot, about 2 minutes more.
",0.4129485167412076
66,Pan-Roasted Rosemary Chicken ,garlic chicken shallot lowsodium chicken broth butter,"2 tablespoons chopped fresh rosemary, 4 garlic cloves, chopped, divided, 3 tablespoons olive oil, divided, 1 3 1/2-4-pound chicken, quartered, Kosher salt, freshly ground pepper, 1 small shallot, finely chopped, 1 tablespoon fresh thyme leaves, 3/4 cup low-sodium chicken broth, 2 tablespoons unsalted butter, cut into pieces","Mix rosemary, half of garlic, and 2 tablespoons oil in a small bowl; rub over flesh side of chicken. Cover; chill 1-12 hours. Place a rack in lower third of oven; preheat to 400degF. Pat skin side of chicken dry; season with salt and pepper. Heat remaining 1 tablespoon oil in a large ovenproof skillet over medium-high heat. Add chicken, skin side down, and cook until golden brown, about 5 minutes. Transfer to oven; roast until an instant-read thermometer inserted in the thickest part of thigh registers 165degF, 20-25 minutes. Transfer chicken, skin side up, to a plate. Cook shallot, thyme, and remaining half of garlic in skillet, stirring occasionally, until softened, about 2 minutes. Add broth and cook, scraping up browned bits, until reduced by half, about 3 minutes. Gradually whisk in butter. Serve chicken with pan sauce.
Mix rosemary, half of garlic, and 2 tablespoons oil in a small bowl; rub over flesh side of chicken. Cover; chill 1-12 hours.
Place a rack in lower third of oven; preheat to 400degF. Pat skin side of chicken dry; season with salt and pepper. Heat remaining 1 tablespoon oil in a large ovenproof skillet over medium-high heat. Add chicken, skin side down, and cook until golden brown, about 5 minutes.
Transfer to oven; roast until an instant-read thermometer inserted in the thickest part of thigh registers 165degF, 20-25 minutes. Transfer chicken, skin side up, to a plate.
Cook shallot, thyme, and remaining half of garlic in skillet, stirring occasionally, until softened, about 2 minutes. Add broth and cook, scraping up browned bits, until reduced by half, about 3 minutes. Gradually whisk in butter. Serve chicken with pan sauce.",0.41330726489296776
67,Armenian Rice Pilaf,butter egg noodle rice chicken broth chicken,"1/2 cup butter  , 1 1/2 cups uncooked fine egg noodles  , 3 cups uncooked long grain white rice  , 5 (14.5 ounce) cans chicken broth  , 4 cubes chicken bouillon  ,  ","Melt butter in large saucepan over medium-high heat. Add the egg noodles and stir until they begin to brown, being careful not to burn the butter. Stir in the rice. Continue stirring until rice is coated with butter.
Pour in the chicken broth and add the bouillon cubes. Bring to a boil; reduce heat to low and cover tightly. Cook without uncovering pot until all the liquid has been absorbed, about 20 minutes.
",0.41485428895214127
